GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
0600000US0900368940,0900368940,"Simsbury town, Hartford County, Connecticut",0.455,0.024
0600000US0900370550,0900370550,"Southington town, Hartford County, Connecticut",0.402,0.015
0600000US0900371390,0900371390,"South Windsor town, Hartford County, Connecticut",0.380,0.023
0600000US0900374540,0900374540,"Suffield town, Hartford County, Connecticut",0.451,0.040
0600000US0900382590,0900382590,"West Hartford town, Hartford County, Connecticut",0.470,0.016
0600000US0900384900,0900384900,"Wethersfield town, Hartford County, Connecticut",0.414,0.022
0600000US0900387000,0900387000,"Windsor town, Hartford County, Connecticut",0.379,0.022
0600000US0900387070,0900387070,"Windsor Locks town, Hartford County, Connecticut",0.382,0.023
0600000US0900502760,0900502760,"Barkhamsted town, Litchfield County, Connecticut",0.308,0.034
0600000US0900504930,0900504930,"Bethlehem town, Litchfield County, Connecticut",0.382,0.070
0600000US0900508210,0900508210,"Bridgewater town, Litchfield County, Connecticut",0.495,0.046
0600000US0900510940,0900510940,"Canaan town, Litchfield County, Connecticut",0.433,0.039
0600000US0900516050,0900516050,"Colebrook town, Litchfield County, Connecticut",0.422,0.068
0600000US0900517240,0900517240,"Cornwall town, Litchfield County, Connecticut",0.504,0.058
0600000US0900532290,0900532290,"Goshen town, Litchfield County, Connecticut",0.407,0.041
0600000US0900537280,0900537280,"Harwinton town, Litchfield County, Connecticut",0.385,0.056
0600000US0900540290,0900540290,"Kent town, Litchfield County, Connecticut",0.529,0.082
0600000US0900543370,0900543370,"Litchfield town, Litchfield County, Connecticut",0.444,0.030
0600000US0900549460,0900549460,"Morris town, Litchfield County, Connecticut",0.394,0.052
0600000US0900551350,0900551350,"New Hartford town, Litchfield County, Connecticut",0.441,0.094
0600000US0900552630,0900552630,"New Milford town, Litchfield County, Connecticut",0.384,0.024
0600000US0900553470,0900553470,"Norfolk town, Litchfield County, Connecticut",0.425,0.044
0600000US0900554030,0900554030,"North Canaan town, Litchfield County, Connecticut",0.419,0.055
0600000US0900560750,0900560750,"Plymouth town, Litchfield County, Connecticut",0.339,0.022
0600000US0900565930,0900565930,"Roxbury town, Litchfield County, Connecticut",0.503,0.064
0600000US0900566420,0900566420,"Salisbury town, Litchfield County, Connecticut",0.536,0.060
0600000US0900567960,0900567960,"Sharon town, Litchfield County, Connecticut",0.499,0.090
0600000US0900575730,0900575730,"Thomaston town, Litchfield County, Connecticut",0.353,0.029
0600000US0900576570,0900576570,"Torrington town, Litchfield County, Connecticut",0.417,0.020
0600000US0900579510,0900579510,"Warren town, Litchfield County, Connecticut",0.466,0.073
0600000US0900579720,0900579720,"Washington town, Litchfield County, Connecticut",0.526,0.060
0600000US0900580490,0900580490,"Watertown town, Litchfield County, Connecticut",0.382,0.021
0600000US0900586440,0900586440,"Winchester town, Litchfield County, Connecticut",0.384,0.027
0600000US0900587910,0900587910,"Woodbury town, Litchfield County, Connecticut",0.416,0.035
0600000US0900700000,0900700000,"County subdivisions not defined, Middlesex County, Connecticut",-,**
0600000US0900714300,0900714300,"Chester town, Middlesex County, Connecticut",0.392,0.052
0600000US0900715350,0900715350,"Clinton town, Middlesex County, Connecticut",0.413,0.030
0600000US0900718080,0900718080,"Cromwell town, Middlesex County, Connecticut",0.405,0.043
0600000US0900719130,0900719130,"Deep River town, Middlesex County, Connecticut",0.423,0.052
0600000US0900720810,0900720810,"Durham town, Middlesex County, Connecticut",0.344,0.033
0600000US0900722280,0900722280,"East Haddam town, Middlesex County, Connecticut",0.348,0.031
0600000US0900722490,0900722490,"East Hampton town, Middlesex County, Connecticut",0.348,0.024
0600000US0900726270,0900726270,"Essex town, Middlesex County, Connecticut",0.487,0.048
0600000US0900735230,0900735230,"Haddam town, Middlesex County, Connecticut",0.359,0.032
0600000US0900740710,0900740710,"Killingworth town, Middlesex County, Connecticut",0.384,0.041
0600000US0900747080,0900747080,"Middlefield town, Middlesex County, Connecticut",0.423,0.034
0600000US0900747360,0900747360,"Middletown town, Middlesex County, Connecticut",0.431,0.017
0600000US0900757320,0900757320,"Old Saybrook town, Middlesex County, Connecticut",0.415,0.031
0600000US0900761800,0900761800,"Portland town, Middlesex County, Connecticut",0.382,0.039
0600000US0900781680,0900781680,"Westbrook town, Middlesex County, Connecticut",0.525,0.091
0600000US0900900000,0900900000,"County subdivisions not defined, New Haven County, Connecticut",-,**
0600000US0900901220,0900901220,"Ansonia town, New Haven County, Connecticut",0.378,0.016
0600000US0900903250,0900903250,"Beacon Falls town, New Haven County, Connecticut",0.345,0.040
0600000US0900904580,0900904580,"Bethany town, New Haven County, Connecticut",0.379,0.047
0600000US0900907310,0900907310,"Branford town, New Haven County, Connecticut",0.457,0.036
0600000US0900914160,0900914160,"Cheshire town, New Haven County, Connecticut",0.395,0.020
0600000US0900919550,0900919550,"Derby town, New Haven County, Connecticut",0.410,0.031
0600000US0900922910,0900922910,"East Haven town, New Haven County, Connecticut",0.403,0.017
0600000US0900934950,0900934950,"Guilford town, New Haven County, Connecticut",0.447,0.027
0600000US0900935650,0900935650,"Hamden town, New Haven County, Connecticut",0.424,0.015
0600000US0900944560,0900944560,"Madison town, New Haven County, Connecticut",0.418,0.029
0600000US0900946520,0900946520,"Meriden town, New Haven County, Connecticut",0.435,0.019
0600000US0900946940,0900946940,"Middlebury town, New Haven County, Connecticut",0.401,0.038
0600000US0900947535,0900947535,"Milford town, New Haven County, Connecticut",0.413,0.017
0600000US0900949950,0900949950,"Naugatuck town, New Haven County, Connecticut",0.393,0.019
0600000US0900952070,0900952070,"New Haven town, New Haven County, Connecticut",0.497,0.010
0600000US0900953890,0900953890,"North Branford town, New Haven County, Connecticut",0.355,0.021
0600000US0900954870,0900954870,"North Haven town, New Haven County, Connecticut",0.416,0.031
0600000US0900957600,0900957600,"Orange town, New Haven County, Connecticut",0.404,0.022
0600000US0900958300,0900958300,"Oxford town, New Haven County, Connecticut",0.356,0.028
0600000US0900962290,0900962290,"Prospect town, New Haven County, Connecticut",0.429,0.085
0600000US0900967610,0900967610,"Seymour town, New Haven County, Connecticut",0.397,0.025
0600000US0900969640,0900969640,"Southbury town, New Haven County, Connecticut",0.479,0.022
0600000US0900978740,0900978740,"Wallingford town, New Haven County, Connecticut",0.393,0.016
0600000US0900980070,0900980070,"Waterbury town, New Haven County, Connecticut",0.458,0.015
0600000US0900982870,0900982870,"West Haven town, New Haven County, Connecticut",0.396,0.014
0600000US0900987560,0900987560,"Wolcott town, New Haven County, Connecticut",0.379,0.029
0600000US0900987700,0900987700,"Woodbridge town, New Haven County, Connecticut",0.472,0.037
0600000US0901100000,0901100000,"County subdivisions not defined, New London County, Connecticut",-,**
0600000US0901106820,0901106820,"Bozrah town, New London County, Connecticut",0.395,0.070
0600000US0901115910,0901115910,"Colchester town, New London County, Connecticut",0.325,0.020
0600000US0901123400,0901123400,"East Lyme town, New London County, Connecticut",0.406,0.019
0600000US0901129910,0901129910,"Franklin town, New London County, Connecticut",0.322,0.021
0600000US0901133900,0901133900,"Griswold town, New London County, Connecticut",0.390,0.027
0600000US0901134250,0901134250,"Groton town, New London County, Connecticut",0.425,0.020
0600000US0901142390,0901142390,"Lebanon town, New London County, Connecticut",0.388,0.072
0600000US0901142600,0901142600,"Ledyard town, New London County, Connecticut",0.345,0.031
0600000US0901143230,0901143230,"Lisbon town, New London County, Connecticut",0.371,0.060
0600000US0901144210,0901144210,"Lyme town, New London County, Connecticut",0.549,0.080
0600000US0901148900,0901148900,"Montville town, New London County, Connecticut",0.378,0.027
0600000US0901152350,0901152350,"New London town, New London County, Connecticut",0.403,0.018
0600000US0901155500,0901155500,"North Stonington town, New London County, Connecticut",0.359,0.034
0600000US0901156270,0901156270,"Norwich town, New London County, Connecticut",0.421,0.021
0600000US0901157040,0901157040,"Old Lyme town, New London County, Connecticut",0.444,0.037
0600000US0901162150,0901162150,"Preston town, New London County, Connecticut",0.373,0.033
0600000US0901166210,0901166210,"Salem town, New London County, Connecticut",0.359,0.037
0600000US0901171670,0901171670,"Sprague town, New London County, Connecticut",0.363,0.053
0600000US0901173770,0901173770,"Stonington town, New London County, Connecticut",0.458,0.024
0600000US0901178600,0901178600,"Voluntown town, New London County, Connecticut",0.309,0.031
0600000US0901180280,0901180280,"Waterford town, New London County, Connecticut",0.408,0.021
0600000US0901301080,0901301080,"Andover town, Tolland County, Connecticut",0.394,0.060
0600000US0901306260,0901306260,"Bolton town, Tolland County, Connecticut",0.394,0.047
0600000US0901316400,0901316400,"Columbia town, Tolland County, Connecticut",0.307,0.032
0600000US0901317800,0901317800,"Coventry town, Tolland County, Connecticut",0.307,0.024
0600000US0901325360,0901325360,"Ellington town, Tolland County, Connecticut",0.374,0.031
0600000US0901337910,0901337910,"Hebron town, Tolland County, Connecticut",0.357,0.031
0600000US0901344910,0901344910,"Mansfield town, Tolland County, Connecticut",0.465,0.031
0600000US0901369220,0901369220,"Somers town, Tolland County, Connecticut",0.374,0.035
0600000US0901372090,0901372090,"Stafford town, Tolland County, Connecticut",0.345,0.018
0600000US0901376290,0901376290,"Tolland town, Tolland County, Connecticut",0.365,0.025
0600000US0901377830,0901377830,"Union town, Tolland County, Connecticut",0.284,0.044
0600000US0901378250,0901378250,"Vernon town, Tolland County, Connecticut",0.397,0.018
0600000US0901385950,0901385950,"Willington town, Tolland County, Connecticut",0.410,0.034
0600000US0901501430,0901501430,"Ashford town, Windham County, Connecticut",0.347,0.030
0600000US0901509190,0901509190,"Brooklyn town, Windham County, Connecticut",0.367,0.037
0600000US0901512130,0901512130,"Canterbury town, Windham County, Connecticut",0.294,0.037
0600000US0901513810,0901513810,"Chaplin town, Windham County, Connecticut",0.372,0.083
0600000US0901521860,0901521860,"Eastford town, Windham County, Connecticut",0.382,0.040
0600000US0901536000,0901536000,"Hampton town, Windham County, Connecticut",0.340,0.025
0600000US0901540500,0901540500,"Killingly town, Windham County, Connecticut",0.388,0.022
0600000US0901559980,0901559980,"Plainfield town, Windham County, Connecticut",0.356,0.023
0600000US0901561030,0901561030,"Pomfret town, Windham County, Connecticut",0.417,0.041
0600000US0901562710,0901562710,"Putnam town, Windham County, Connecticut",0.435,0.053
0600000US0901567400,0901567400,"Scotland town, Windham County, Connecticut",0.311,0.029
0600000US0901573420,0901573420,"Sterling town, Windham County, Connecticut",0.349,0.040
0600000US0901575870,0901575870,"Thompson town, Windham County, Connecticut",0.388,0.030
0600000US0901586790,0901586790,"Windham town, Windham County, Connecticut",0.445,0.023
0600000US0901588190,0901588190,"Woodstock town, Windham County, Connecticut",0.397,0.048
